Time,Sound Velocity ,Pressure,Depth,Temperature,Conductivity ,Salinity,Potential Temperature ,Oxygen [mg/l],"Oxygen, [umol/Kg]",Density
0,1451.41,0.122,0.121,10.9712,0.382606,0.2539,10.9712,9.48071,296.333,999.81
0.25,1451.41,0.121,0.12,10.9717,0.376406,0.2496,10.9717,9.48753,296.547,999.8067
0.5,1451.4,0.121,0.12,10.9719,0.371074,0.246,10.9719,9.48894,296.592,999.8038
0.75,1451.4,0.122,0.121,10.9723,0.367011,0.2432,10.9723,9.49617,296.819,999.8016
1,1451.4,0.122,0.121,10.9727,0.363207,0.2406,10.9727,9.48932,296.605,999.7995
1.25,1451.4,0.121,0.12,10.9729,0.359635,0.2382,10.9729,9.49525,296.791,999.7975
1.5,1451.4,0.138,0.137,10.9736,0.357101,0.2365,10.9735,9.48943,296.609,999.7962
1.75,1451.73,0.167,0.165,11.0462,0.418598,0.278,11.0462,9.48051,296.323,999.8215
2,1452.67,0.188,0.186,11.2371,0.651239,0.4371,11.2371,9.41723,294.315,999.9263
2.25,1453.57,0.199,0.197,11.381,1.062925,0.7254,11.381,9.38053,293.106,1000.1365
2.5,1454.38,0.207,0.205,11.4668,1.601186,1.1118,11.4668,9.33953,291.74,1000.4288
2.75,1455.75,0.214,0.212,11.5164,2.900308,2.0777,11.5164,9.25645,288.929,1001.1757
3,1464.25,0.22,0.218,11.5467,11.47103,9.0298,11.5467,8.85764,275.001,1006.5608
3.25,1469.86,0.231,0.229,11.5715,16.805744,13.6483,11.5715,8.59865,266.017,1010.1285
3.5,1470.18,0.251,0.249,11.5986,17.023341,13.8304,11.5986,8.5789,265.371,1010.2655
3.75,1477.11,0.277,0.275,11.6271,23.405121,19.5593,11.627,8.26725,254.615,1014.6904
4,1489.29,0.305,0.303,11.6503,34.225766,29.7059,11.6502,7.75368,236.964,1022.545
4.25,1489.39,0.334,0.331,11.6717,34.265844,29.7273,11.6717,7.74623,236.733,1022.5579
4.5,1489.47,0.366,0.363,11.6893,34.292959,29.7393,11.6892,7.74664,236.744,1022.5643
4.75,1489.55,0.394,0.39,11.7027,34.329106,29.7633,11.7027,7.74871,236.804,1022.5806
5,1489.59,0.42,0.416,11.7139,34.34191,29.7667,11.7138,7.74369,236.65,1022.5814
5.25,1489.62,0.449,0.445,11.7233,34.346117,29.7632,11.7232,7.73711,236.45,1022.5771
5.5,1489.63,0.481,0.477,11.731,34.341298,29.7524,11.7309,7.72758,236.161,1022.5675
5.75,1489.58,0.516,0.511,11.7353,34.286007,29.6958,11.7352,7.73768,236.48,1022.523
6,1489.45,0.549,0.544,11.7337,34.176991,29.5924,11.7336,7.74027,236.578,1022.4433
6.25,1489.46,0.578,0.573,11.7324,34.183261,29.5994,11.7323,7.73923,236.545,1022.4491
6.5,1489.46,0.604,0.598,11.7323,34.182408,29.5987,11.7322,7.74332,236.67,1022.4486
6.75,1489.44,0.628,0.622,11.7207,34.196045,29.621,11.7206,7.74601,236.747,1022.4681
7,1489.44,0.653,0.647,11.7109,34.212607,29.6448,11.7108,7.74984,236.86,1022.4884
7.25,1489.41,0.678,0.672,11.7066,34.201283,29.6373,11.7065,7.77219,237.544,1022.4834
7.5,1489.41,0.704,0.698,11.7031,34.201892,29.6406,11.703,7.78999,238.088,1022.4868
7.75,1489.44,0.732,0.726,11.7011,34.238795,29.6777,11.701,7.79891,238.353,1022.516
8,1489.54,0.763,0.756,11.7073,34.309964,29.7411,11.7072,7.81473,238.826,1022.5643
8.25,1489.59,0.795,0.788,11.7133,34.335813,29.7611,11.7132,7.84117,239.63,1022.5789
8.5,1489.58,0.825,0.817,11.7099,34.336911,29.7649,11.7098,7.86681,240.413,1022.5825
8.75,1489.57,0.853,0.845,11.7045,34.340266,29.7724,11.7044,7.90032,241.435,1022.5895
9,1489.56,0.879,0.871,11.6999,34.34112,29.777,11.6998,7.92927,242.319,1022.5939
9.25,1489.54,0.891,0.883,11.6961,34.333499,29.7727,11.696,7.9591,243.232,1022.5913
9.5,1489.55,0.895,0.886,11.693,34.344658,29.7859,11.6929,7.98569,244.041,1022.6021
9.75,1489.54,0.888,0.88,11.6896,34.348074,29.7919,11.6895,8.03145,245.439,1022.6073
10,1489.54,0.874,0.866,11.6892,34.346122,29.7903,11.6891,8.07598,246.8,1022.6061
10.25,1489.54,0.861,0.853,11.6894,34.34722,29.7912,11.6893,8.13626,248.642,1022.6067
10.5,1489.54,0.854,0.846,11.6897,34.344902,29.7888,11.6896,8.20676,250.797,1022.6048
10.75,1489.54,0.847,0.839,11.6904,34.348866,29.792,11.6903,8.30462,253.787,1022.6071
11,1489.55,0.847,0.839,11.6909,34.353501,29.796,11.6908,8.43139,257.66,1022.6101
11.25,1489.55,0.863,0.855,11.6909,34.353745,29.7963,11.6908,8.56518,261.748,1022.6104
11.5,1489.55,0.895,0.887,11.6901,34.35405,29.7972,11.69,8.70313,265.964,1022.6114
11.75,1489.55,0.932,0.924,11.6898,34.354172,29.7975,11.6897,8.83547,270.008,1022.6119
12,1489.55,0.957,0.948,11.6897,34.35033,29.794,11.6896,8.9591,273.787,1022.6092
12.25,1489.55,0.971,0.962,11.6893,34.355636,29.7994,11.6892,9.04828,276.511,1022.6136
12.5,1489.55,0.975,0.966,11.6891,34.358137,29.8019,11.689,9.13506,279.162,1022.6156
12.75,1489.56,0.965,0.956,11.6893,34.359174,29.8028,11.6892,9.20007,281.149,1022.6162
13,1489.56,0.947,0.939,11.689,34.360028,29.8038,11.6889,9.23259,282.142,1022.617
13.25,1489.56,0.927,0.919,11.6891,34.360882,29.8046,11.689,9.25734,282.899,1022.6174
13.5,1489.56,0.912,0.904,11.6894,34.361308,29.8047,11.6893,9.24929,282.653,1022.6175
13.75,1489.56,0.909,0.901,11.6898,34.362162,29.8052,11.6897,9.2236,281.868,1022.6178
14,1489.56,0.917,0.908,11.6905,34.362772,29.8053,11.6904,9.17769,280.464,1022.6177
14.25,1489.56,0.934,0.925,11.6907,34.362345,29.8047,11.6906,9.13483,279.155,1022.6173
14.5,1489.56,0.955,0.946,11.6907,34.361308,29.8037,11.6905,9.10528,278.252,1022.6166
14.75,1489.56,0.969,0.96,11.6909,34.360698,29.8029,11.6908,9.09569,277.959,1022.616
15,1489.56,0.973,0.964,11.6912,34.359174,29.8012,11.6911,9.08925,277.763,1022.6147
15.25,1489.56,0.965,0.956,11.6916,34.359844,29.8015,11.6915,9.08877,277.748,1022.6148
15.5,1489.57,0.95,0.941,11.6918,34.362345,29.8038,11.6917,9.0921,277.849,1022.6165
15.75,1489.56,0.936,0.927,11.6913,34.362772,29.8046,11.6912,9.08636,277.674,1022.6172
16,1489.56,0.928,0.919,11.6908,34.363016,29.8053,11.6907,9.06945,277.157,1022.6177
16.25,1489.56,0.927,0.918,11.6902,34.361735,29.8045,11.6901,9.04132,276.297,1022.6172
16.5,1489.56,0.929,0.92,11.6902,34.360698,29.8035,11.6901,8.9965,274.928,1022.6164
16.75,1489.56,0.934,0.926,11.6901,34.359601,29.8025,11.69,8.96908,274.09,1022.6157
17,1489.56,0.94,0.932,11.6898,34.360028,29.8032,11.6897,8.94659,273.403,1022.6163
17.25,1489.56,0.946,0.937,11.6897,34.360699,29.8039,11.6896,8.92988,272.892,1022.6169
17.5,1489.56,0.952,0.943,11.6902,34.361308,29.8041,11.6901,8.93836,273.151,1022.617
17.75,1489.56,0.956,0.947,11.6905,34.360881,29.8034,11.6904,8.93708,273.112,1022.6164
18,1489.56,0.954,0.945,11.6909,34.360027,29.8023,11.6908,8.94255,273.279,1022.6155
18.25,1489.56,0.949,0.94,11.6909,34.358808,29.8012,11.6908,8.93196,272.956,1022.6146
18.5,1489.56,0.944,0.935,11.6915,34.35899,29.8008,11.6914,8.92219,272.658,1022.6142
18.75,1489.56,0.939,0.93,11.6923,34.360271,29.8015,11.6921,8.89002,271.674,1022.6145
19,1489.57,0.936,0.927,11.6927,34.360881,29.8017,11.6926,8.86341,270.861,1022.6146
19.25,1489.57,0.934,0.925,11.6929,34.360698,29.8013,11.6928,8.82976,269.833,1022.6143
19.5,1489.57,0.935,0.926,11.6931,34.359844,29.8004,11.693,8.77587,268.186,1022.6135
19.75,1489.56,0.938,0.929,11.6927,34.359417,29.8003,11.6926,8.76872,267.968,1022.6135
20,1489.56,0.943,0.935,11.6923,34.359173,29.8004,11.6921,8.74668,267.294,1022.6137
20.25,1489.56,0.949,0.94,11.6923,34.3571,29.7984,11.6921,8.71802,266.419,1022.6122
20.5,1489.56,0.951,0.942,11.692,34.353745,29.7954,11.6919,8.7027,265.951,1022.6099
20.75,1489.55,0.951,0.942,11.6918,34.35033,29.7923,11.6917,8.68984,265.559,1022.6076
21,1489.55,0.949,0.94,11.6917,34.347403,29.7895,11.6916,8.66781,264.886,1022.6054
21.25,1489.55,0.946,0.937,11.6917,34.34722,29.7894,11.6916,8.66553,264.817,1022.6053
21.5,1489.55,0.941,0.933,11.6916,34.349537,29.7916,11.6915,8.63453,263.869,1022.607
21.75,1489.55,0.936,0.928,11.6918,34.352647,29.7945,11.6917,8.60443,262.948,1022.6092
22,1489.56,0.933,0.925,11.6917,34.354355,29.7962,11.6916,8.57454,262.035,1022.6105
22.25,1489.56,0.935,0.926,11.692,34.354965,29.7965,11.6919,8.53189,260.731,1022.6107
